n,l = 0,l = 1,l = 2
3,       3.9646,       4.4236,       4.8460
4,       4.9527,       5.4659,       5.9000
5,       5.9931,       6.5262,       6.9649
6,       7.0558,       7.5701,       8.0062
7,       8.1015,       8.6123,       9.0552
8,       9.1570,       9.6572,      10.0958
9,      10.2024,      10.6961,      11.1367
10,      11.2481,      11.7329,      12.1629
11,      12.2746,      12.7431,      13.1639
12,      13.2761,      13.7333,      14.1448
13,      14.2563,      14.7073,      15.1218
14,      15.2359,      15.6940,      16.1141
15,      16.2296,      16.6901,      17.1130
16,      17.2289,      17.6903,      18.1112
17,      18.2251,      18.6801,      19.0971
18,      19.2095,      19.6638,      20.0819
19,      20.1933,      20.6489,      21.0710
20,      21.1823,      21.6445,      22.0728
21,      22.1836,      22.6488,      23.0795
22,      23.1890,      23.6562,      24.0892
23,      24.1970,      24.6637,      25.0963
24,      25.2020,      25.6686,      26.1030
25,      26.2072,      26.6745,      27.1099
26,      27.2124,      27.6809,      28.1194
27,      28.2207,      28.6914,      29.1319
28,      29.2314,      29.7029,      30.1453
29,      30.2433,      30.7161,      31.1595
30,      31.2556,      31.7280,      32.1719
