n,l = 0,l = 1,l = 2
2,       1.4786,       1.8312,       1.9552
3,       2.0505,       2.3400,       2.4590
4,       2.5313,       2.7921,       2.9351
5,       3.0144,       3.2853,       3.4250
6,       3.4936,       3.7612,       3.9225
7,       3.9963,       4.2822,       4.4450
8,       4.5121,       4.7897,       4.9589
9,       5.0254,       5.3154,       5.4915
10,       5.5553,       5.8440,       6.0199
11,       6.0802,       6.3657,       6.5555
12,       6.6139,       6.9045,       7.0838
13,       7.1389,       7.4247,       7.6004
14,       7.6517,       7.9241,       8.0877
15,       8.1329,       8.3800,       8.5294
16,       8.5699,       8.8090,       8.9650
17,       9.0072,       9.2718,       9.4451
18,       9.4897,       9.7742,       9.9559
19,      10.0007,      10.2936,      10.4789
20,      10.5226,      10.8176,      11.0024
